"","observed_scientific_name","valid_scientific_name","rank","vernacular_fr","kingdom","phylum","class","order","family","genus","species","TSN"
"77","Zoarces americanus","Zoarces americanus","species","Loquette d'amérique","Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Zoarces","Zoarces americanus",165318
"78","Urophycis tenuis","Urophycis tenuis","species","Merluche blanche","Animalia","Chordata","Teleostei","Gadiformes","Phycidae","Urophycis","Urophycis tenuis",164732
"79","Ulvaria subbifurcata","Ulvaria subbifurcata","species","Ulvaire deux-lignes","Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Ulvaria","Ulvaria subbifurcata",171616
"80","Triglops murrayi","Triglops murrayi","species","Faux-trigle armé","Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Triglops","Triglops murrayi",167375
"81","Peprilus triacanthus","Peprilus triacanthus","species","Stromatée à fossettes","Animalia","Chordata","Teleostei","Perciformes","Stromateidae","Peprilus","Peprilus triacanthus",172567
"82","Careproctus reinhardti","Careproctus reinhardti","species","Petite limace de mer","Animalia","Chordata","Teleostei","Scorpaeniformes","Liparidae","Careproctus","Careproctus reinhardti",167522
"83","Tautogolabrus adspersus","Tautogolabrus adspersus","species","Tanche-tautogue","Animalia","Chordata","Teleostei","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus",170481
"84","Stichaeus punctatus punctatus","Stichaeus punctatus punctatus","subspecies","Stichée arctique","Animalia","Chordata","","Perciformes","Stichaeidae","Stichaeus","Stichaeus punctatus",171596
"85","Stichaeus punctatus","Stichaeus punctatus","species","Stichée arctique","Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Stichaeus","Stichaeus punctatus",171596
"86","Squalus acanthias","Squalus acanthias","species","Aiguillat commun","Animalia","Chordata","Chondrichthyes","Squaliformes","Squalidae","Squalus","Squalus acanthias",160617
"87","Scophthalmus aquosus","Scophthalmus aquosus","species","Turbot de sable","Animalia","Chordata","Teleostei","Pleuronectiformes","Scophthalmidae","Scophthalmus","Scophthalmus aquosus",172746
"88","Pseudacris triseriata","Pseudacris triseriata","species","Rainette faux-grillon de l'ouest","Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudacris","Pseudacris triseriata",173525
"89","Scomber scombrus","Scomber scombrus","species","Maquereau bleu","Animalia","Chordata","Teleostei","Perciformes","Scombridae","Scomber","Scomber scombrus",172414
"90","Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","species","Flétan du groenland","Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Reinhardtius","Reinhardtius hippoglossoides",172930
"91","Pseudopleuronectes americanus","Pseudopleuronectes americanus","species","Plie rouge","Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes","Pseudopleuronectes americanus",172905
"92","Pollachius virens","Pollachius virens","species","Goberge","Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Pollachius","Pollachius virens",164727
"93","Phycis chesteri","Phycis chesteri","species","Merluche à longues nageoires","Animalia","Chordata","Teleostei","Gadiformes","Phycidae","Phycis","Phycis chesteri",164733
"94","Osmerus mordax mordax","Osmerus mordax mordax","subspecies","Eperlan d'amerique","Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax",162041
"95","Microtus pennsylvanicus","Microtus pennsylvanicus","species","Campagnol des champs","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Microtus","Microtus pennsylvanicus",180297
