"","observed_scientific_name","valid_scientific_name","rank","vernacular_fr","kingdom","phylum","class","order","family","genus","species","TSN"
"161","Pholis gunnellus","Pholis gunnellus","species","Gonnelle","Animalia","Chordata","Teleostei","Perciformes","Pholidae","Pholis","Pholis gunnellus",171645
"162","Paralepis coregonoides","Arctozenus risso","species","","Animalia","Chordata","Teleostei","Aulopiformes","Paralepididae","Arctozenus","Arctozenus risso",644684
"163","Nemichthys scolopaceus","Nemichthys scolopaceus","species","Avocette ruban","Animalia","Chordata","Teleostei","Anguilliformes","Nemichthyidae","Nemichthys","Nemichthys scolopaceus",161624
"164","Scomberesox saurus","Scomberesox saurus","species","Balaou","Animalia","Chordata","Teleostei","Beloniformes","Scomberesocidae","Scomberesox","Scomberesox saurus",165612
"165","Rhinochimaera atlantica","Rhinochimaera atlantica","species","Chimère couteau","Animalia","Chordata","Chondrichthyes","Chimaeriformes","Rhinochimaeridae","Rhinochimaera","Rhinochimaera atlantica",161027
"166","Rajella fyllae","Rajella fyllae","species","Raie ronde","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Rajella","Rajella fyllae",564135
"167","Esox masquinongy","Esox masquinongy","species","Maskinongé","Animalia","Chordata","Teleostei","Esociformes","Esocidae","Esox","Esox masquinongy",162144
"168","Cottus cognatus","Cottus cognatus","species","","Animalia","Chordata","","Scorpaeniformes","Cottidae","Cottus","Cottus bairdii",167237
"169","Polymixia lowei","Polymixia lowei","species","Poisson chèvre","Animalia","Chordata","Teleostei","Polymixiiformes","Polymixiidae","Polymixia","Polymixia lowei",166126
"170","Polyacanthonotus rissoanus","Polyacanthonotus rissoanus","species","Policante","Animalia","Chordata","Teleostei","Notacanthiformes","Notacanthidae","Polyacanthonotus","Polyacanthonotus rissoanus",161685
"171","Stomias boa ferox","Stomias boa ferox","subspecies","Dragon-boa","Animalia","Chordata","Teleostei","Stomiiformes","Stomiidae","Stomias","Stomias boa",162289
"172","Stomias boa","Stomias boa","species","Dragon-boa","Animalia","Chordata","Teleostei","Stomiiformes","Stomiidae","Stomias","Stomias boa",162289
"173","Somniosus microcephalus","Somniosus microcephalus","species","Laimargue","Animalia","Chordata","Elasmobranchii","Squaliformes","Somniosidae","Somniosus","Somniosus microcephalus",160611
"174","Sigmops elongatus","Gonostoma elongatum","species","","Animalia","Chordata","Teleostei","Stomiiformes","Gonostomatidae","Sigmops","Sigmops elongatus",622362
"175","Serrivomer beanii","Serrivomer beanii","species","","Animalia","Chordata","Teleostei","Anguilliformes","Serrivomeridae","Serrivomer","Serrivomer beanii",635762
"176","Sebastes norvegicus","Sebastes norvegicus","species","Sébaste orangé","Animalia","Chordata","Teleostei","Scorpaeniformes","Scorpaenidae","Sebastes","Sebastes norvegicus",166781
"177","Zenopsis conchifer","Zenopsis conchifera","species","Faux st.-pierre","Animalia","Chordata","Teleostei","Zeiformes","Zeidae","Zenopsis","Zenopsis conchifer",166284
"178","Branta bernicla hrota","Branta bernicla hrota","subspecies","","Animalia","Chordata","Aves","Anseriformes","Anatidae","Branta","Branta bernicla",175011
"179","Branta bernicla","Branta bernicla","species","Bernache cravant","Animalia","Chordata","Aves","Anseriformes","Anatidae","Branta","Branta bernicla",175011
"180","Larus smithsonianus","Larus smithsonianus","species","Goéland hudsonien","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus smithsonianus",824077
"181","Morus bassanus","Morus bassanus","species","Fou de bassan","Animalia","Chordata","Aves","Suliformes","Sulidae","Morus","Morus bassanus",174712
"182","Balaenoptera physalus","Balaenoptera physalus","species","Rorqual commun","Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae","Balaenoptera","Balaenoptera physalus",180527
"183","Scolopax minor","Scolopax minor","species","Bécasse d'amérique","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Scolopax","Scolopax minor",176580
"184","Plethodon cinereus","Plethodon cinereus","species","Salamandre rayée","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon cinereus",173649
"185","Alces americanus","Alces americanus","species","Orignal","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Alces","Alces americanus",898198
"186","Necturus maculosus","Necturus maculosus","species","Necture tacheté","Animalia","Chordata","Amphibia","Caudata","Proteidae","Necturus","Necturus maculosus",173630
"187","Ambystoma maculatum","Ambystoma maculatum","species","Salamandre maculée","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma maculatum",173590
"188","Balaenoptera musculus","Balaenoptera musculus","species","Rorqual bleu","Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae","Balaenoptera","Balaenoptera musculus",180528
"189","Megaptera novaeangliae","Megaptera novaeangliae","species","Rorqual à bosse","Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae","Megaptera","Megaptera novaeangliae",180530
"190","Micropterus dolomieu","Micropterus dolomieu","species","Achigan à petite bouche","Animalia","Chordata","Teleostei","Perciformes","Centrarchidae","Micropterus","Micropterus dolomieu",168159
"191","Phoca vitulina concolor","Phoca vitulina vitulina","subspecies","","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca vitulina",180643
"192","Balaenoptera acutorostrata","Balaenoptera acutorostrata","species","Petit rorqual","Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae","Balaenoptera","Balaenoptera acutorostrata",180524
"193","Ambystoma jeffersonianum","Ambystoma jeffersonianum","species","Salamandre de jefferson","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma jeffersonianum",173598
"194","Myotis septentrionalis","Myotis septentrionalis","species","Chauve-souris nordique","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis septentrionalis",180000
"195","Anguilla rostrata","Anguilla rostrata","species","Anguille d'amérique","Animalia","Chordata","Teleostei","Anguilliformes","Anguillidae","Anguilla","Anguilla rostrata",161127
"196","Phocoena phocoena","Phocoena phocoena","species","Marsouin commun","Animalia","Chordata","Mammalia","Cetacea","Phocoenidae","Phocoena","Phocoena phocoena",180473
"197","Calidris canutus","Calidris canutus","species","Bécasseau maubèche","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris canutus",176642
"198","Calidris canutus rufa","Calidris canutus rufa","subspecies","","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris canutus",176642
"199","Brevoortia tyrannus","Brevoortia tyrannus","species","Alose tyran","Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Brevoortia","Brevoortia tyrannus",161732
"200","Brevoortia tyrannus harengus","Brevoortia tyrannus","species","Alose tyran","Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Brevoortia","Brevoortia tyrannus",161732
"201","Salmo salar","Salmo salar","species","Saumon Atlantique","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo","Salmo salar",161996
"202","Clupea harengus harengus","Clupea harengus harengus","subspecies","","Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea harengus",161722
"203","Cetorhinus maximus","Cetorhinus maximus","species","Pèlerin","Animalia","Chordata","Elasmobranchii","Lamniformes","Cetorhinidae","Cetorhinus","Cetorhinus maximus",159907
"204","Halichoerus grypus","Halichoerus grypus","species","Phoque gris","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Halichoerus","Halichoerus grypus",180653
"205","Tamiasciurus hudsonicus","Tamiasciurus hudsonicus","species","Écureuil roux","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Tamiasciurus","Tamiasciurus hudsonicus",180166
"206","Blarina brevicauda","Blarina brevicauda","species","Grande musaraigne","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Blarina","Blarina brevicauda",179967
"207","Napaeozapus insignis","Napaeozapus insignis","species","Souris sauteuse des bois","Animalia","Chordata","Mammalia","Rodentia","Dipodidae","Napaeozapus","Napaeozapus insignis",180390
"208","Sorex cinereus","Sorex cinereus","species","Musaraigne cendrée","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","Sorex cinereus",179929
"209","Clemmys guttata","Clemmys guttata","species","Tortue ponctuée","Animalia","Chordata","Testudines","Testudines","Emydidae","Clemmys","Clemmys guttata",173771
"210","Synchiropus agassizii","Foetorepus agassizii","species","","Animalia","Chordata","Teleostei","Perciformes","Callionymidae","Foetorepus","Foetorepus agassizii",642555
"211","Paralichthys dentatus","Paralichthys dentatus","species","Cardeau d'été","Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys dentatus",172735
"212","Petromyzon marinus","Petromyzon marinus","species","Lamproie marine","Animalia","Chordata","Petromyzonti","Petromyzontiformes","Petromyzontidae","Petromyzon","Petromyzon marinus",159722
"213","Selene setapinnis","Selene setapinnis","species","Lune","Animalia","Chordata","Teleostei","Perciformes","Carangidae","Selene","Selene setapinnis",168684
"214","Tetronarce nobiliana","Tetronarce nobiliana","species","Torpille noire","Animalia","Chordata","Elasmobranchii","Torpediniformes","Torpedinidae","Tetronarce","Tetronarce nobiliana",NA
"215","Arenaria interpres","Arenaria interpres","species","Tournepierre à collier","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Arenaria","Arenaria interpres",176571
"216","Numenius phaeopus","Numenius phaeopus","species","Courlis corlieu","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Numenius","Numenius phaeopus",176599
"217","Calidris alba","Calidris alba","species","Bécasseau sanderling","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris alba",176669
"218","Pluvialis squatarola","Pluvialis squatarola","species","Pluvier argenté","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Pluvialis","Pluvialis squatarola",176567
"219","Coccyzus americanus","Coccyzus americanus","species","Coulicou à bec jaune","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Coccyzus","Coccyzus americanus",177831
"220","Circus hudsonius","Circus","genus","Busard d'amérique","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circus","Circus cyaneus",175430
"221","Antrostomus vociferus","Antrostomus vociferus","species","Engoulevent bois-pourri","Animalia","Chordata","Aves","Caprimulgiformes","Caprimulgidae","Antrostomus","Antrostomus vociferus",1077358
"222","Buteo platypterus","Buteo platypterus","species","Petite buse","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo platypterus",175365
"223","Buteo lineatus","Buteo lineatus","species","Buse à épaulettes","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo lineatus",175359
"224","Bombycilla cedrorum","Bombycilla cedrorum","species","Jaseur d'amérique","Animalia","Chordata","Aves","Passeriformes","Bombycillidae","Bombycilla","Bombycilla cedrorum",178532
"225","Icterus galbula","Icterus galbula","species","Oriole du Nord","Animalia","Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus galbula",179083
"226","Quiscalus quiscula","Quiscalus quiscula","species","Quiscale bronzé","Animalia","Chordata","Aves","Passeriformes","Icteridae","Quiscalus","Quiscalus quiscula",179104
"227","Passerella iliaca","Passerella iliaca","species","Bruant fauve","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Passerella","Passerella iliaca",179464
"228","Molothrus ater","Molothrus ater","species","Vacher à tête brune","Animalia","Chordata","Aves","Passeriformes","Icteridae","Molothrus","Molothrus ater",179112
"229","Euphagus cyanocephalus","Euphagus cyanocephalus","species","Quiscale de brewer","Animalia","Chordata","Aves","Passeriformes","Icteridae","Euphagus","Euphagus cyanocephalus",179094
"230","Hesperiphona vespertina","Hesperiphona vespertina","species","Hesperiphona vespertinus","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Hesperiphona","Hesperiphona vespertina",179175
"231","Spinus tristis","Spinus tristis","species","Chardonneret jaune","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Spinus","Spinus tristis",179249
"232","Sturnella magna","Sturnella magna","species","Sturnelle des prés","Animalia","Chordata","Aves","Passeriformes","Icteridae","Sturnella","Sturnella magna",179034
"233","Sturnella magna magna","Sturnella magna magna","subspecies","","Animalia","Chordata","Aves","Passeriformes","Icteridae","Sturnella","Sturnella magna",179034
"234","Passer domesticus","Passer domesticus","species","Moineau domestique","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer domesticus",179628
"235","Mimus polyglottos","Mimus polyglottos","species","Moqueur polyglotte","Animalia","Chordata","Aves","Passeriformes","Mimidae","Mimus","Mimus polyglottos",178620
"236","Melanerpes erythrocephalus","Melanerpes erythrocephalus","species","Pic à tête rouge","Animalia","Chordata","Aves","Piciformes","Picidae","Melanerpes","Melanerpes erythrocephalus",178186
"237","Loxia curvirostra","Loxia curvirostra","species","Bec-croisé des sapins","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia","Loxia curvirostra",179259
"238","Hirundo rustica","Hirundo rustica","species","Hirondelle rustique","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","Hirundo rustica",178448
"239","Eremophila alpestris","Eremophila alpestris","species","Alouette hausse-col","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Eremophila","Eremophila alpestris",178402
"240","Setophaga palmarum","Setophaga palmarum","species","Paruline à couronne rousse","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga palmarum",950043
"241","Porzana carolina","Porzana carolina","species","Marouette de caroline","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",176242
"242","Podilymbus podiceps","Podilymbus podiceps","species","Grèbe à bec bigarré","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podilymbus","Podilymbus podiceps",174505
"243","Pandion haliaetus","Pandion haliaetus","species","Balbuzard pêcheur","Animalia","Chordata","Aves","Accipitriformes","Pandionidae","Pandion","Pandion haliaetus",175590
"244","Cistothorus palustris","Cistothorus palustris","species","Troglodyte des marais","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Cistothorus","Cistothorus palustris",178608
"245","Botaurus lentiginosus","Botaurus lentiginosus","species","Butor d'amérique","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Botaurus","Botaurus lentiginosus",174856
"246","Zenaida macroura","Zenaida macroura","species","Tourterelle triste","Animalia","Chordata","Aves","Columbiformes","Columbidae","Zenaida","Zenaida macroura",177125
"247","Vireo flavifrons","Vireo flavifrons","species","Viréo à gorge jaune","Animalia","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo flavifrons",179009
"248","Vermivora cyanoptera","Vermivora cyanoptera","species","Paruline à ailes bleues","Animalia","Chordata","Aves","Passeriformes","Parulidae","Vermivora","Vermivora cyanoptera",950011
"249","Troglodytes aedon","Troglodytes aedon","species","Troglodyte familier","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon",178541
"250","Tachycineta bicolor","Tachycineta bicolor","species","Hirondelle bicolore","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Tachycineta","Tachycineta bicolor",178431
"251","Haemorhous mexicanus","Haemorhous mexicanus","species","Roselin familier","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Haemorhous","Haemorhous mexicanus",997805
"252","Ardea herodias","Ardea herodias","species","Grand héron","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea herodias",174773
"253","Hydroprogne caspia","Hydroprogne caspia","species","Sterne caspienne","Animalia","Chordata","Aves","Charadriiformes","Laridae","Hydroprogne","Hydroprogne caspia",176935
"254","Poecile atricapillus","Poecile atricapillus","species","Mésange à tête noire","Animalia","Chordata","Aves","Passeriformes","Paridae","Poecile","Poecile atricapillus",554382
"255","Haliaeetus leucocephalus","Haliaeetus leucocephalus","species","Pygargue à tête blanche","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Haliaeetus","Haliaeetus leucocephalus",175420
"256","Catharus bicknelli","Catharus bicknelli","species","Grive de bicknell","Animalia","Chordata","Aves","Passeriformes","Turdidae","Catharus","Catharus bicknelli",554148
"257","Sialia sialis","Sialia sialis","species","Merlebleu de l'est","Animalia","Chordata","Aves","Passeriformes","Turdidae","Sialia","Sialia sialis",179801
"258","Baeolophus bicolor","Baeolophus bicolor","species","Mésange bicolore","Animalia","Chordata","Aves","Passeriformes","Paridae","Baeolophus","Baeolophus bicolor",554138
"259","Lepus americanus","Lepus americanus","species","Lièvre d'amérique","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Lepus","Lepus americanus",180112
"260","Rangifer tarandus","Rangifer tarandus","species","Caribou","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Rangifer","Rangifer tarandus",180701
"261","Dolichonyx oryzivorus","Dolichonyx oryzivorus","species","Goglu des prés","Animalia","Chordata","Aves","Passeriformes","Icteridae","Dolichonyx","Dolichonyx oryzivorus",179032
"262","Aquila chrysaetos","Aquila chrysaetos","species","Aigle royal","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Aquila chrysaetos",175407
"263","Ambloplites rupestris","Ambloplites rupestris","species","Crapet de roche","Animalia","Chordata","Teleostei","Perciformes","Centrarchidae","Ambloplites","Ambloplites rupestris",168097
"264","Perca flavescens","Perca flavescens","species","Perchaude","Animalia","Chordata","Teleostei","Perciformes","Percidae","Perca","Perca flavescens",168469
"265","Notemigonus crysoleucas","Notemigonus crysoleucas","species","Méné jaune","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Notemigonus","Notemigonus crysoleucas",163368
"266","Buteo lagopus","Buteo lagopus","species","Buse pattue","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo lagopus",175373
"267","Accipiter gentilis","Accipiter gentilis","species","Autour des palombes","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter gentilis",175300
"268","Accipiter cooperii","Accipiter cooperii","species","Epervier de cooper","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter cooperii",175309
"269","Accipiter striatus","Accipiter striatus","species","Epervier brun","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter striatus",175304
"270","Morone chrysops","Morone chrysops","species","Bar blanc","Animalia","Chordata","Teleostei","Perciformes","Moronidae","Morone","Morone chrysops",167681
"271","Martes americana","Martes americana","species","Martre d'amérique","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Martes","Martes americana",180559
"272","Lynx rufus","Lynx rufus","species","Lynx roux","Animalia","Chordata","Mammalia","Carnivora","Felidae","Lynx","Lynx rufus",180582
"273","Ursus americanus","Ursus americanus","species","Ours noir","Animalia","Chordata","Mammalia","Carnivora","Ursidae","Ursus","Ursus americanus",180544
"274","Odocoileus virginianus","Odocoileus virginianus","species","Cerf de Virginie","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Odocoileus","Odocoileus virginianus",180699
"275","Castor canadensis","Castor canadensis","species","Castor","Animalia","Chordata","Mammalia","Rodentia","Castoridae","Castor","Castor canadensis",180212
"276","Cyprinus carpio","Cyprinus","genus","Cyprin","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Cyprinus","Cyprinus carpio",163344
"277","Fundulus heteroclitus","Fundulus heteroclitus","species","Choquemort","Animalia","Chordata","Teleostei","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus heteroclitus",165647
"278","Glaucomys sabrinus","Glaucomys sabrinus","species","Grand polatouche","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Glaucomys","Glaucomys sabrinus",180169
"279","Uria lomvia","Uria lomvia","species","Guillemot de brünnich","Animalia","Chordata","Aves","Charadriiformes","Alcidae","Uria","Uria lomvia",176978
"280","Salmo trutta","Salmo trutta","species","Truite brune","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo","Salmo trutta",161997
"281","Plethodon jordani","Plethodon jordani","species","","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon jordani",173660
"282","Odobenus rosmarus","Odobenus rosmarus","species","Morse","Animalia","Chordata","Mammalia","Carnivora","Odobenidae","Odobenus","Odobenus rosmarus",180639
"283","Limosa haemastica","Limosa haemastica","species","Barge hudsonienne","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Limosa","Limosa haemastica",176690
"284","Lepus arcticus","Lepus arcticus","species","Lièvre arctique","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Lepus","Lepus arcticus",552511
"285","Lepus arcticus bangsii","Lepus arcticus bangsii","subspecies","","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Lepus","Lepus arcticus",552511
"286","Storeria dekayi","Storeria dekayi","species","Couleuvre brune","Animalia","Chordata","Reptilia","Squamata","Colubridae","Storeria","Storeria dekayi",174129
"287","Sistrurus catenatus","Sistrurus catenatus","species","Sistrurus catenatus catenatus","Animalia","Chordata","Squamata","Squamata","Viperidae","Sistrurus","Sistrurus catenatus",174304
"288","Hyperoodon ampullatus","Hyperoodon ampullatus","species","Baleine à bec commune","Animalia","Chordata","Mammalia","Cetacea","Hyperoodontidae","Hyperoodon","Hyperoodon ampullatus",180504
"289","Morone americana","Morone americana","species","Baret","Animalia","Chordata","Teleostei","Perciformes","Moronidae","Morone","Morone americana",167678
"290","Isurus oxyrinchus","Isurus oxyrinchus","species","Mako à nageoires courtes","Animalia","Chordata","Elasmobranchii","Lamniformes","Lamnidae","Isurus","Isurus oxyrinchus",159924
"291","Dermochelys coriacea","Dermochelys coriacea","species","Tortue luth","Animalia","Chordata","Testudines","Testudines","Dermochelyidae","Dermochelys","Dermochelys coriacea",173843
"292","Sistrurus catenatus catenatus","Sistrurus catenatus","species","","Animalia","Chordata","Squamata","Squamata","Viperidae","Sistrurus","Sistrurus catenatus",174304
"293","Nerodia sipedon","Nerodia sipedon","species","Couleuvre d'eau","Animalia","Chordata","Squamata","Squamata","Colubridae","Nerodia","Nerodia sipedon",174251
"294","Nerodia sipedon insularum","Nerodia sipedon insularum","subspecies","","Animalia","Chordata","Squamata","Squamata","Colubridae","Nerodia","Nerodia sipedon",174251
"295","Amia calva","Amia calva","species","Poisson-castor","Animalia","Chordata","Holostei","Amiiformes","Amiidae","Amia","Amia calva",161104
"296","Ameiurus nebulosus","Ameiurus nebulosus","species","Barbotte brune","Animalia","Chordata","Teleostei","Siluriformes","Ictaluridae","Ameiurus","Ameiurus nebulosus",164043
"297","Aplodinotus grunniens","Aplodinotus grunniens","species","Malachigan","Animalia","Chordata","Teleostei","Perciformes","Sciaenidae","Aplodinotus","Aplodinotus grunniens",169364
"298","Catostomus commersonii","Catostomus commersonii","species","","Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Catostomus","Catostomus commersonii",553273
"299","Carpiodes cyprinus","Carpiodes cyprinus","species","Couette","Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Carpiodes","Carpiodes cyprinus",163917
"300","Esox lucius","Esox lucius","species","Grand brochet","Animalia","Chordata","Teleostei","Esociformes","Esocidae","Esox","Esox lucius",162139
"301","Dorosoma cepedianum","Dorosoma cepedianum","species","Alose à gésier","Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Dorosoma","Dorosoma cepedianum",161737
"302","Ictalurus punctatus","Ictalurus punctatus","species","Barbue de rivière","Animalia","Chordata","Teleostei","Siluriformes","Ictaluridae","Ictalurus","Ictalurus punctatus",163998
"303","Lepomis gibbosus","Lepomis gibbosus","species","Crapet-soleil","Animalia","Chordata","Teleostei","Perciformes","Centrarchidae","Lepomis","Lepomis gibbosus",168144
"304","Lepisosteus osseus","Lepisosteus osseus","species","Lépisosté osseux","Animalia","Chordata","Holostei","Lepisosteiformes","Lepisosteidae","Lepisosteus","Lepisosteus osseus",161094
"305","Moxostoma macrolepidotum","Moxostoma macrolepidotum","species","Chevalier rouge","Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Moxostoma","Moxostoma macrolepidotum",163928
"306","Moxostoma anisurum","Moxostoma anisurum","species","Chevalier blanc","Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Moxostoma","Moxostoma anisurum",163933
"307","Micropterus salmoides","Micropterus salmoides","species","Achigan à grande bouche","Animalia","Chordata","Teleostei","Perciformes","Centrarchidae","Micropterus","Micropterus salmoides",168160
"308","Percopsis omiscomaycus","Percopsis omiscomaycus","species","Omisco","Animalia","Chordata","Teleostei","Percopsiformes","Percopsidae","Percopsis","Percopsis omiscomaycus",164409
"309","Noturus flavus","Noturus flavus","species","Barbotte des rapides","Animalia","Chordata","Teleostei","Siluriformes","Ictaluridae","Noturus","Noturus flavus",164013
"310","Notropis hudsonius","Notropis hudsonius","species","Queue à tache noire","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Notropis","Notropis hudsonius",163404
"311","Pomoxis nigromaculatus","Pomoxis nigromaculatus","species","Marigane noire","Animalia","Chordata","Teleostei","Perciformes","Centrarchidae","Pomoxis","Pomoxis nigromaculatus",168167
"312","Sander vitreus","Sander vitreus","species","Doré jaune","Animalia","Chordata","Teleostei","Perciformes","Percidae","Sander","Sander vitreus",650173
"313","Anchoa mitchilli","Anchoa mitchilli","species","Anchois américain","Animalia","Chordata","Teleostei","Clupeiformes","Engraulidae","Anchoa","Anchoa mitchilli",161839
"314","Canis lupus","Canis lupus","species","Loup","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus",180596
"315","Gyrinophilus porphyriticus","Gyrinophilus porphyriticus","species","Salamandre pourpre","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Gyrinophilus","Gyrinophilus porphyriticus",173715
"316","Eurycea bislineata","Eurycea bislineata","species","Salamandre à deux lignes","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Eurycea","Eurycea bislineata",173685
"317","Desmognathus ochrophaeus","Desmognathus ochrophaeus","species","","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Desmognathus","Desmognathus ochrophaeus",173641
"318","Orcinus orca","Orcinus orca","species","Épaulard","Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Orcinus","Orcinus orca",180469
"319","Larus marinus","Larus marinus","species","Goéland marin","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus marinus",176815
"320","Rangifer tarandus caribou","Rangifer tarandus caribou","subspecies","Caribou des bois","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Rangifer","Rangifer tarandus",180701
"321","Coregonus zenithicus","Coregonus zenithicus","species","Cisco à mâchoires égales","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Coregonus","Coregonus zenithicus",161948
"322","Coregonus hoyi","Coregonus hoyi","species","","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Coregonus","Coregonus hoyi",161943
"323","Coregonus artedi","Coregonus artedi","species","Cisco de lac","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Coregonus","Coregonus artedi",161942
"324","Macrhybopsis storeriana","Macrhybopsis storeriana","species","Méné à grandes écailles","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Macrhybopsis","Macrhybopsis storeriana",163870
"325","Anser caerulescens atlanticus","Anser caerulescens atlanticus","subspecies","","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anser","Anser caerulescens",175029
"326","Notophthalmus viridescens louisianensis","Notophthalmus viridescens","species","","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Notophthalmus","Notophthalmus viridescens",173615
"327","Sphyrna lewini","Sphyrna lewini","species","Grand requin marteau","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna","Sphyrna lewini",160508
"328","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","species","Saumon rose","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha",161975
"329","Ursus maritimus","Ursus maritimus","species","Ours blanc","Animalia","Chordata","Mammalia","Carnivora","Ursidae","Ursus","Ursus maritimus",180542
